Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2022-01-03,178.10365295410156,170.4044952392578,143.802978515625,323.1607971191406,399.9266662597656
2022-01-04,175.8432159423828,167.52200317382812,143.21583557128906,317.6194763183594,383.1966552734375
2022-01-05,171.1658477783203,164.35699462890625,136.64561462402344,305.42681884765625,362.7066650390625
2022-01-06,168.30850219726562,163.25399780273438,136.61834716796875,303.01336669921875,354.8999938964844
2022-01-07,168.47483825683594,162.5540008544922,135.89385986328125,303.1677551269531,342.32000732421875
2022-01-10,168.49441528320312,161.48599243164062,137.53277587890625,303.3898010253906,352.7066650390625
2022-01-11,171.3223876953125,165.36199951171875,138.59054565429688,304.0751953125,354.79998779296875
2022-01-12,171.76272583007812,165.20700073242188,140.27114868164062,307.2513427734375,368.739990234375
2022-01-13,168.49441528320312,161.21400451660156,137.4509735107422,294.24761962890625,343.85333251953125
2022-01-14,169.35556030273438,162.13800048828125,138.33714294433594,299.4607238769531,349.8699951171875
2022-01-18,166.15570068359375,158.91749572753906,134.88319396972656,292.17205810546875,343.5033264160156
2022-01-19,162.662353515625,156.2989959716797,134.0089111328125,292.8284912109375,331.8833312988281
2022-01-20,160.97927856445312,151.66749572753906,132.21473693847656,291.158447265625,332.0899963378906
2022-01-21,158.92431640625,142.64300537109375,129.282958984375,285.7813415527344,314.6333312988281
2022-01-24,158.15127563476562,144.54400634765625,129.7317657470703,286.10943603515625,310.0
2022-01-25,156.35076904296875,139.98599243164062,125.89447784423828,278.5022888183594,306.1333312988281
2022-01-26,156.2626953125,138.87249755859375,128.1736602783203,286.4377136230469,312.4700012207031
2022-01-27,155.8027801513672,139.6374969482422,127.9475326538086,289.45941162109375,276.3666687011719
2022-01-28,166.67433166503906,143.97799682617188,132.25787353515625,297.5879211425781,282.1166687011719
2022-01-31,171.02890014648438,149.57350158691406,134.1943817138672,300.2136535644531,312.239990234375
2022-02-01,170.8625030517578,151.19349670410156,136.5157012939453,298.0705871582031,310.4166564941406
2022-02-02,172.06610107421875,150.6125030517578,146.7868194580078,302.60791015625,301.88665771484375
2022-02-03,169.18917846679688,138.8455047607422,141.9170684814453,290.8205871582031,297.0466613769531
2022-02-04,168.90505981445312,157.63949584960938,142.118408203125,295.34820556640625,307.7733459472656
2022-02-07,168.18980407714844,157.9355010986328,138.05995178222656,290.53094482421875,302.4466552734375
2022-02-08,171.29571533203125,161.4134979248047,138.25631713867188,294.01593017578125,307.3333435058594
2022-02-09,172.71640014648438,161.1894989013672,140.43133544921875,300.4357604980469,310.6666564941406
2022-02-10,168.64048767089844,159.0034942626953,137.4836883544922,291.9114990234375,301.51666259765625
2022-02-11,165.23085021972656,153.2935028076172,133.18174743652344,284.8255615234375,286.6666564941406
2022-02-14,165.46600341796875,155.16700744628906,134.41506958007812,284.78692626953125,291.9200134277344
2022-02-15,169.29693603515625,156.510498046875,135.48866271972656,290.06756591796875,307.4766540527344
2022-02-16,169.06182861328125,158.10049438476562,136.6089630126953,289.72906494140625,307.7966613769531
2022-02-17,165.46600341796875,154.65249633789062,131.45254516601562,281.2450866699219,292.1166687011719
2022-02-18,163.91793823242188,152.60150146484375,129.3340301513672,278.5364685058594,285.6600036621094
2022-02-22,160.99819946289062,150.19749450683594,128.7493896484375,278.3333435058594,273.84332275390625
2022-02-23,156.83412170410156,144.82699584960938,126.54212188720703,271.1263732910156,254.67999267578125
2022-02-24,159.45013427734375,151.35800170898438,131.60328674316406,284.97918701171875,266.92333984375
2022-02-25,161.51747131347656,153.7884979248047,133.35731506347656,287.6104736328125,269.9566650390625
2022-02-28,161.7820281982422,153.56300354003906,133.9499053955078,289.0421447753906,290.1433410644531
2022-03-01,159.90081787109375,151.14199829101562,132.9625701904297,285.3274230957031,288.1233215332031
2022-03-02,163.19288635253906,152.05250549316406,133.46839904785156,290.3964538574219,293.2966613769531
2022-03-03,162.86961364746094,147.89849853515625,132.80189514160156,286.26580810546875,279.7633361816406
2022-03-04,159.87144470214844,145.64100646972656,130.8252410888672,280.4034729003906,279.42999267578125
2022-03-07,156.0796661376953,137.4530029296875,125.34255981445312,269.81072998046875,268.1933288574219
2022-03-08,154.25726318359375,136.01449584960938,126.0625991821289,266.8504943847656,274.79998779296875
2022-03-09,159.65586853027344,139.2790069580078,132.32632446289062,279.0879211425781,286.3233337402344
2022-03-10,155.3154296875,146.8175048828125,131.34397888183594,276.27276611328125,279.4333190917969
2022-03-11,151.60205078125,145.52450561523438,128.805908203125,270.9328918457031,265.1166687011719
2022-03-14,147.5751495361328,141.85299682617188,124.91854858398438,267.42132568359375,255.4566650390625
2022-03-15,151.9547576904297,147.3665008544922,128.13894653320312,277.78192138671875,267.2966613769531
2022-03-16,156.3638153076172,153.10400390625,132.18798828125,284.78570556640625,280.07666015625
2022-03-17,157.37295532226562,157.23899841308594,132.7418670654297,285.5886535644531,290.5333251953125
2022-03-18,160.6650390625,161.25050354003906,135.0096435546875,290.628662109375,301.7966613769531
2022-03-21,162.0367431640625,161.4915008544922,134.98583984375,289.40008544921875,307.0533447265625
2022-03-22,165.4072265625,164.88900756835938,138.72145080566406,294.1402282714844,331.32666015625
2022-03-23,166.76910400390625,163.4080047607422,137.1420135498047,289.71929931640625,333.03668212890625
2022-03-24,170.55111694335938,163.64950561523438,140.4114990234375,294.178955078125,337.97332763671875
2022-03-25,171.1879425048828,164.77349853515625,140.5116729736328,293.7726135253906,336.8800048828125
2022-03-28,172.05015563964844,168.99049377441406,140.29595947265625,300.5636291503906,363.9466552734375
2022-03-29,175.34222412109375,169.31500244140625,141.33738708496094,305.1199645996094,366.5233459472656
2022-03-30,174.17630004882812,166.30099487304688,140.77499389648438,303.6205139160156,364.663330078125
2022-03-31,171.0801544189453,162.99749755859375,137.9275360107422,298.2515869140625,359.20001220703125
2022-04-01,170.78623962402344,163.55999755859375,139.00164794921875,299.3254089355469,361.5299987792969
2022-04-04,174.832763671875,168.34649658203125,141.79953002929688,304.6943054199219,381.8166809082031
